"","County","Year","Days.with.AQI","Median.AQI","Max.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days"
"279","Graham",2014,213,41,101,173,39,1,0,0,0
"280","Granville",2014,214,43,100,169,45,0,0,0,0
"281","Guilford",2014,353,44,100,254,99,0,0,0,0
"282","Haywood",2014,269,44,105,195,73,1,0,0,0
"283","Hyde",2014,107,23,56,104,3,0,0,0,0
"284","Jackson",2014,264,44,119,205,58,1,0,0,0
"285","Johnston",2014,263,40,84,231,32,0,0,0,0
"286","Lee",2014,365,44,108,262,102,1,0,0,0
"287","Lenoir",2014,214,40,93,177,37,0,0,0,0
"288","Lincoln",2014,212,42,108,181,29,2,0,0,0
"289","Macon",2014,355,32,84,333,22,0,0,0,0
"290","Martin",2014,359,43,97,262,97,0,0,0,0
"291","McDowell",2014,349,33,106,304,44,1,0,0,0
"292","Mecklenburg",2014,365,45,105,241,122,2,0,0,0
"293","Mitchell",2014,120,31,65,108,12,0,0,0,0
"294","Montgomery",2014,365,43,84,267,98,0,0,0,0
"295","New Hanover",2014,345,39,93,283,62,0,0,0,0
"296","Person",2014,214,39,93,190,24,0,0,0,0
"297","Pitt",2014,256,39,93,221,35,0,0,0,0
"298","Robeson",2014,120,35,61,101,19,0,0,0,0
"299","Rockingham",2014,214,44,101,168,45,1,0,0,0
"300","Rowan",2014,365,44,93,269,96,0,0,0,0
"301","Swain",2014,359,38,84,287,72,0,0,0,0
"302","Union",2014,214,44,115,166,46,2,0,0,0
"303","Wake",2014,365,47,100,217,148,0,0,0,0
"304","Watauga",2014,116,28,58,107,9,0,0,0,0
"305","Wayne",2014,347,48,77,187,160,0,0,0,0
"306","Yancey",2014,199,44,101,157,41,1,0,0,0
"307","Alamance",2013,356,31,78,313,43,0,0,0,0
"308","Alexander",2013,213,40,100,197,16,0,0,0,0
"309","Avery",2013,363,40,93,336,27,0,0,0,0
"310","Buncombe",2013,365,36,97,313,52,0,0,0,0
"311","Caldwell",2013,214,37,93,203,11,0,0,0,0
"312","Carteret",2013,325,34,93,311,14,0,0,0,0
"313","Caswell",2013,364,41,112,266,97,1,0,0,0
"314","Catawba",2013,364,33,72,305,59,0,0,0,0
"315","Chatham",2013,260,32,80,245,15,0,0,0,0
"316","Cumberland",2013,336,39,105,277,58,1,0,0,0
"317","Davidson",2013,357,40,77,260,97,0,0,0,0
"318","Davie",2013,214,40,100,191,23,0,0,0,0
"319","Duplin",2013,348,38,82,271,77,0,0,0,0
"320","Durham",2013,365,36,87,303,62,0,0,0,0
"321","Edgecombe",2013,361,36,101,303,57,1,0,0,0
"322","Forsyth",2013,365,43,122,266,97,2,0,0,0
"323","Franklin",2013,208,38,84,191,17,0,0,0,0
"324","Gaston",2013,328,32,66,292,36,0,0,0,0
"325","Graham",2013,214,43,97,178,36,0,0,0,0
"326","Granville",2013,214,38,93,191,23,0,0,0,0
"327","Guilford",2013,357,39,105,287,69,1,0,0,0
"328","Haywood",2013,265,44,97,215,50,0,0,0,0
"329","Hyde",2013,108,22,56,104,4,0,0,0,0
"330","Jackson",2013,253,44,119,205,47,1,0,0,0
"331","Johnston",2013,261,35,97,235,26,0,0,0,0
"332","Lee",2013,56,31,41,56,0,0,0,0,0
"333","Lenoir",2013,262,36,100,232,30,0,0,0,0
"334","Lincoln",2013,214,40,105,194,18,2,0,0,0
"335","Macon",2013,346,32,84,330,16,0,0,0,0
"336","Martin",2013,362,43,90,263,99,0,0,0,0
"337","McDowell",2013,347,30,68,306,41,0,0,0,0
"338","Mecklenburg",2013,365,43,101,268,95,2,0,0,0
"339","Mitchell",2013,118,32,68,100,18,0,0,0,0
"340","Montgomery",2013,361,37,80,307,54,0,0,0,0
"341","New Hanover",2013,359,40,97,270,89,0,0,0,0
"342","Person",2013,211,37,105,197,13,1,0,0,0
"343","Pitt",2013,262,35,100,234,28,0,0,0,0
"344","Robeson",2013,117,30,64,101,16,0,0,0,0
"345","Rockingham",2013,212,40,105,188,23,1,0,0,0
"346","Rowan",2013,365,43,108,277,87,1,0,0,0
"347","Swain",2013,355,37,93,291,64,0,0,0,0
"348","Union",2013,205,38,84,182,23,0,0,0,0
"349","Wake",2013,365,44,90,248,117,0,0,0,0
"350","Watauga",2013,122,26,153,109,12,0,1,0,0
"351","Wayne",2013,359,40,89,237,122,0,0,0,0
"352","Yancey",2013,211,46,97,169,42,0,0,0,0
"353","Alamance",2012,361,37,88,294,67,0,0,0,0
"354","Alexander",2012,209,44,126,161,46,2,0,0,0
"355","Avery",2012,364,42,143,313,48,3,0,0,0
"356","Buncombe",2012,366,40,150,291,73,2,0,0,0
"357","Caldwell",2012,214,42,129,182,31,1,0,0,0
"358","Carteret",2012,252,35,84,241,11,0,0,0,0
"359","Caswell",2012,353,43,136,238,111,4,0,0,0
"360","Catawba",2012,339,39,80,259,80,0,0,0,0
"361","Chatham",2012,263,37,151,235,27,0,1,0,0
"362","Cumberland",2012,363,42,147,272,87,4,0,0,0
"363","Davidson",2012,360,43,80,237,123,0,0,0,0
"364","Davie",2012,214,44,174,151,58,4,1,0,0
"365","Duplin",2012,314,42,94,216,98,0,0,0,0
"366","Durham",2012,365,39,151,286,72,6,1,0,0
"367","Edgecombe",2012,359,39,161,288,67,3,1,0,0
"368","Forsyth",2012,366,44,154,235,119,10,2,0,0
"369","Franklin",2012,212,42,159,171,36,4,1,0,0
"370","Gaston",2012,345,40,82,263,82,0,0,0,0
"371","Graham",2012,209,48,126,131,75,3,0,0,0
"372","Granville",2012,214,42,154,166,43,4,1,0,0
"373","Guilford",2012,364,43,154,264,92,7,1,0,0
"374","Haywood",2012,266,49,136,159,103,4,0,0,0
"375","Hyde",2012,108,22,66,102,6,0,0,0,0
"376","Jackson",2012,253,45,143,175,74,4,0,0,0
"377","Johnston",2012,263,40,177,217,40,5,1,0,0
"378","Lenoir",2012,276,38,143,233,42,1,0,0,0
"379","Lincoln",2012,213,46,154,142,64,6,1,0,0
"380","Macon",2012,354,35,90,334,20,0,0,0,0
"381","Martin",2012,358,37,140,307,50,1,0,0,0
"382","McDowell",2012,355,37,73,299,56,0,0,0,0
"383","Mecklenburg",2012,366,47,166,218,128,16,4,0,0
"384","Mitchell",2012,118,33,67,104,14,0,0,0,0
"385","Montgomery",2012,361,38,151,318,41,1,1,0,0
"386","New Hanover",2012,352,37,122,302,48,2,0,0,0
"387","Person",2012,212,41,140,171,35,6,0,0,0
"388","Pitt",2012,254,39,177,208,42,3,1,0,0
"389","Robeson",2012,122,34,77,102,20,0,0,0,0
"390","Rockingham",2012,214,44,129,152,55,7,0,0,0
"391","Rowan",2012,366,45,206,235,119,10,1,1,0
"392","Swain",2012,360,41,84,288,72,0,0,0,0
"393","Union",2012,214,40,206,165,44,4,0,1,0
"394","Wake",2012,366,44,161,247,112,6,1,0,0
"395","Watauga",2012,120,32,66,111,9,0,0,0,0
"396","Wayne",2012,341,37,80,277,64,0,0,0,0
"397","Yancey",2012,194,47,156,141,50,2,1,0,0
"398","Alamance",2011,365,43,108,242,121,2,0,0,0
"399","Alexander",2011,210,46,105,155,52,3,0,0,0
"400","Avery",2011,362,43,84,297,65,0,0,0,0
"401","Buncombe",2011,364,42,100,261,103,0,0,0,0
"402","Caldwell",2011,214,45,100,161,53,0,0,0,0
"403","Carteret",2011,272,39,87,239,33,0,0,0,0
"404","Caswell",2011,363,43,129,243,117,3,0,0,0
"405","Catawba",2011,365,43,93,229,136,0,0,0,0
"406","Chatham",2011,261,41,100,200,61,0,0,0,0
"407","Cumberland",2011,365,48,143,207,148,10,0,0,0
"408","Davidson",2011,360,47,79,211,149,0,0,0,0
"409","Davie",2011,214,47,119,141,66,7,0,0,0
"410","Duplin",2011,119,34,112,92,26,1,0,0,0
"411","Durham",2011,365,43,122,251,111,3,0,0,0
"412","Edgecombe",2011,298,43,122,200,91,7,0,0,0
"413","Forsyth",2011,365,47,147,211,141,13,0,0,0
"414","Franklin",2011,214,45,136,156,54,4,0,0,0
"415","Gaston",2011,345,43,89,219,126,0,0,0,0
"416","Graham",2011,204,50,122,106,91,7,0,0,0
"417","Granville",2011,212,49,156,130,78,3,1,0,0
"418","Guilford",2011,361,47,140,220,130,11,0,0,0
"419","Haywood",2011,271,49,122,157,110,4,0,0,0
"420","Hyde",2011,110,23,127,95,14,1,0,0,0
"421","Jackson",2011,265,48,126,156,105,4,0,0,0
"422","Johnston",2011,257,45,136,169,81,7,0,0,0
"423","Lenoir",2011,259,44,159,185,69,4,1,0,0
"424","Lincoln",2011,213,48,129,126,75,12,0,0,0
"425","Macon",2011,328,38,97,296,32,0,0,0,0
"426","Martin",2011,345,40,172,254,88,2,1,0,0
"427","McDowell",2011,357,40,83,239,118,0,0,0,0
"428","Mecklenburg",2011,365,52,169,169,164,24,8,0,0
"429","Mitchell",2011,117,38,75,91,26,0,0,0,0
"430","Montgomery",2011,342,42,112,257,84,1,0,0,0
"431","New Hanover",2011,361,37,120,285,74,2,0,0,0
"432","Person",2011,214,46,143,141,68,5,0,0,0
"433","Pitt",2011,259,44,136,174,78,7,0,0,0
"434","Robeson",2011,121,39,100,85,36,0,0,0,0
"435","Rockingham",2011,212,49,129,119,89,4,0,0,0
"436","Rowan",2011,365,50,159,193,148,23,1,0,0
"437","Swain",2011,362,48,80,203,159,0,0,0,0
"438","Union",2011,209,45,126,133,62,14,0,0,0
"439","Wake",2011,365,47,156,209,133,21,2,0,0
"440","Watauga",2011,117,31,71,94,23,0,0,0,0
"441","Wayne",2011,346,39,154,237,107,1,1,0,0
"442","Yancey",2011,191,58,126,72,115,4,0,0,0
"443","Alamance",2010,363,43,91,231,132,0,0,0,0
"444","Alexander",2010,214,46,140,132,75,7,0,0,0
"445","Avery",2010,362,44,122,280,75,7,0,0,0
"446","Buncombe",2010,364,44,119,246,114,4,0,0,0
"447","Caldwell",2010,212,44,122,149,59,4,0,0,0
"448","Carteret",2010,318,37,101,279,38,1,0,0,0
"449","Caswell",2010,365,44,126,234,125,6,0,0,0
"450","Catawba",2010,363,45,88,215,148,0,0,0,0
"451","Chatham",2010,257,40,108,194,61,2,0,0,0
"452","Cumberland",2010,362,48,151,208,146,7,1,0,0
"453","Davidson",2010,352,45,89,215,137,0,0,0,0
"454","Davie",2010,214,48,140,125,81,8,0,0,0
"455","Duplin",2010,121,35,67,95,26,0,0,0,0
"456","Durham",2010,364,45,129,230,126,8,0,0,0
"457","Edgecombe",2010,263,46,136,165,94,4,0,0,0
"458","Forsyth",2010,365,52,169,164,178,20,3,0,0
"459","Franklin",2010,214,44,119,156,54,4,0,0,0
"460","Gaston",2010,361,44,94,222,139,0,0,0,0
"461","Graham",2010,196,48,119,108,76,12,0,0,0
"462","Granville",2010,214,48,136,122,86,6,0,0,0
"463","Guilford",2010,364,48,154,200,145,18,1,0,0
"464","Haywood",2010,267,49,122,149,108,10,0,0,0
"465","Hyde",2010,118,24,73,106,12,0,0,0,0
"466","Jackson",2010,256,49,136,146,107,3,0,0,0
"467","Johnston",2010,266,46,119,163,97,6,0,0,0
