"","County","Year","Count_ExHeat_Days","NC_Annual_Agv_ExHeatDays"
"500","Gaston",2017,31,18.68
"501","Gaston",2018,50,26.5
"502","Gaston",2019,55,34.61
"503","Gaston",2020,31,20.97
"504","Gaston",2021,33,20.6
"505","Gates",2008,48,30.37
"506","Gates",2009,38,39.34
"507","Gates",2010,63,52.17
"508","Gates",2011,65,57.02
"509","Gates",2012,47,38.38
"510","Gates",2013,27,9.82
"511","Gates",2014,46,29.04
"512","Gates",2015,43,35.98
"513","Gates",2016,41,35
"514","Gates",2017,23,18.68
"515","Gates",2018,27,26.5
"516","Gates",2019,51,34.61
"517","Gates",2020,32,20.97
"518","Gates",2021,28,20.6
"519","Graham",2008,0,30.37
"520","Graham",2009,0,39.34
"521","Graham",2010,0,52.17
"522","Graham",2011,0,57.02
"523","Graham",2012,0,38.38
"524","Graham",2013,0,9.82
"525","Graham",2014,0,29.04
"526","Graham",2015,0,35.98
"527","Graham",2016,0,35
"528","Graham",2017,0,18.68
"529","Graham",2018,0,26.5
"530","Graham",2019,0,34.61
"531","Graham",2020,0,20.97
"532","Graham",2021,0,20.6
"533","Granville",2008,43,30.37
"534","Granville",2009,34,39.34
"535","Granville",2010,75,52.17
"536","Granville",2011,83,57.02
"537","Granville",2012,61,38.38
"538","Granville",2013,21,9.82
"539","Granville",2014,51,29.04
"540","Granville",2015,46,35.98
"541","Granville",2016,50,35
"542","Granville",2017,36,18.68
"543","Granville",2018,48,26.5
"544","Granville",2019,45,34.61
"545","Granville",2020,36,20.97
"546","Granville",2021,31,20.6
"547","Greene",2008,45,30.37
"548","Greene",2009,80,39.34
"549","Greene",2010,80,52.17
"550","Greene",2011,77,57.02
"551","Greene",2012,48,38.38
"552","Greene",2013,19,9.82
"553","Greene",2014,48,29.04
"554","Greene",2015,39,35.98
"555","Greene",2016,45,35
"556","Greene",2017,22,18.68
"557","Greene",2018,31,26.5
"558","Greene",2019,58,34.61
"559","Greene",2020,32,20.97
"560","Greene",2021,25,20.6
"561","Guilford",2008,39,30.37
"562","Guilford",2009,24,39.34
"563","Guilford",2010,54,52.17
"564","Guilford",2011,78,57.02
"565","Guilford",2012,57,38.38
"566","Guilford",2013,9,9.82
"567","Guilford",2014,28,29.04
"568","Guilford",2015,54,35.98
"569","Guilford",2016,44,35
"570","Guilford",2017,22,18.68
"571","Guilford",2018,41,26.5
"572","Guilford",2019,32,34.61
"573","Guilford",2020,24,20.97
"574","Guilford",2021,24,20.6
"575","Halifax",2008,39,30.37
"576","Halifax",2009,42,39.34
"577","Halifax",2010,83,52.17
"578","Halifax",2011,73,57.02
"579","Halifax",2012,58,38.38
"580","Halifax",2013,29,9.82
"581","Halifax",2014,52,29.04
"582","Halifax",2015,43,35.98
"583","Halifax",2016,41,35
"584","Halifax",2017,28,18.68
"585","Halifax",2018,40,26.5
"586","Halifax",2019,62,34.61
"587","Halifax",2020,36,20.97
"588","Halifax",2021,35,20.6
"589","Harnett",2008,41,30.37
"590","Harnett",2009,80,39.34
"591","Harnett",2010,89,52.17
"592","Harnett",2011,87,57.02
"593","Harnett",2012,61,38.38
"594","Harnett",2013,15,9.82
"595","Harnett",2014,59,29.04
"596","Harnett",2015,52,35.98
"597","Harnett",2016,53,35
"598","Harnett",2017,36,18.68
"599","Harnett",2018,51,26.5
"600","Harnett",2019,59,34.61
"601","Harnett",2020,39,20.97
"602","Harnett",2021,43,20.6
"603","Haywood",2008,0,30.37
"604","Haywood",2009,0,39.34
"605","Haywood",2010,0,52.17
"606","Haywood",2011,0,57.02
"607","Haywood",2012,0,38.38
"608","Haywood",2013,0,9.82
"609","Haywood",2014,0,29.04
"610","Haywood",2015,0,35.98
